Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
Mar 2020,M,baby/juvenile,Hypo Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-9M,340029,$3500
Mar 2020,F,baby/juvenile,Hypo Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-10F,340026,$3250
Mar 2020,F,baby/juvenile,Img 50% Het Sharp 50% Het Anery,-,#A180-6F,340023,$1200
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-9M,347404,$1200
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-14M,346929,$1200
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-16M,347405,$2200
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-3M,346930,$2000
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-15F,347395,$1650
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-4F,346933,$1500
2020,M,baby/juvenile,Img Possible Jungle 66% Het Vpi T+,-,#A182-8M,346932,$1350
Mar 2020,M,baby/juvenile,Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-13M,340031,$3500
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-5M,347406,$450
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-19M,340007,$400
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-12M,340014,$475
Mar 2020,F,baby/juvenile,Possible Super Sunglow,-,#A181-15F,339998,$600
Mar 2020,F,baby/juvenile,Possible Super Sunglow,-,#A181-7F,347407,$500
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-17M,340005,$550
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-18M,339999,$550
Mar 2020,M,baby/juvenile,Possible Super Sunglow Possible Jungle,-,#A181-21M,340004,$450
Mar 2020,M,baby/juvenile,Possible Super Sunglow Possible Jungle,-,#A181-9M,340012,$500
May 2019,F,baby/juvenile,Img Hypo Jungle 66% Het Sharp 50% Het Anery,-,#A170-12F,224944,$1300
May 2019,M,baby/juvenile,Img Hypo Jungle 66% Het Sharp Albino 50% Het Anery,-,#A170-6Mhj,326668,$1600
2019,F,baby/juvenile,Img Keywest 50% Het Anery,-,-,338550,$1500
May 2019,M,baby/juvenile,Img Sharp Albino,-,#A160-40M,325618,$2200
May 2019,M,baby/juvenile,Img Sharp Albino Jungle 50% Het Anery,-,#A170-2M,325619,$2600
May 2019,F,baby/juvenile,Img Sharp Sunglow 50% Het Anery,-,#A170-11F,324786,$3500
May 2019,M,baby/juvenile,Normal 100% Het Albino 100% Het Sterling,-,#A168-29M,340659,$750
May 2019,F,baby/juvenile,Normal 100% Het Albino 100% Het Sterling,-,#A168-8F,340658,$750
May 2019,F,baby/juvenile,Normal 100% Het Kahl 100% Het Sterling,-,#A168-13F,340657,$750
May 2019,M,baby/juvenile,Sterling,-,#A171-5M,236291,$2000
May 2019,M,baby/juvenile,Vpi T+,-,#A169-15M,249806,$450
May 2019,M,baby/juvenile,Vpi T+ Albino,-,#A169-10M,326669,$450
May 2019,M,baby/juvenile,Vpi T+ Motley Sunglow,-,#AVPIM,328455,$900
May 2019,M,baby/juvenile,Vpi T+ Sunglow,-,#A167-13M,328454,$550
May 2019,M,baby/juvenile,Vpi T+ Sunglow,-,#A167-8MM,328452,$550
Apr 2019,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A164-16FF,327068,$700
Jul 2019,F,baby/juvenile,Vpi T+ Sunglow (Wp Line),-,#A179-1F,328453,$700
May 2018,M,baby/juvenile,Sterling,-,#A156-5M,137895,$3500
May 2018,M,baby/juvenile,Vpi T+ Sunglow Jungle Red Panther,-,#RPJGM1,340660,$1750
May 2018,M,baby/juvenile,Vpi T+ Sunglow (Rp Line),-,#A154-8M,187950,$875
2017,M,subadult,Sharp Sunglow Jungle,-,#SJGM1,340662,$1250
